date,distance(A-B),distance(A-C),distance(A-D),distance(B-C),distance(B-D),distance(C-D),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-09-06 00:00:00+00:00,1001.8514666750623,0,0,0,0,0,73.79192710203826,74.03215412364506,6978171.914530534,97.75328877363177,0.0008521411132413042,262.2586510126937,19.869856844560253,-86.08139805079394
2025-09-07 00:00:00+00:00,1001.0931716457873,0,0,0,0,0,74.08189178773173,74.32920676338401,6978170.692257323,97.7532882162638,0.0007842199585505593,263.23793483898453,18.19506738361048,-129.56491160215828
2025-09-08 00:00:00+00:00,1002.3360480678665,0,0,0,0,0,74.36905382484228,74.62370195329495,6978169.455298334,97.75328767977486,0.0007156566279902287,264.2172194983526,16.515489458755564,-173.0422190351973
2025-09-09 00:00:00+00:00,1002.7921098021718,0,0,0,0,0,74.65310198390043,74.91532966833516,6978168.218671628,97.75328717630036,0.0006465085673157302,265.19650496643027,14.829512537314967,143.48829169766609
2025-09-10 00:00:00+00:00,1001.8235036100125,0,0,0,0,0,74.93371406047619,75.2037678223871,6978166.967021073,97.75328670147468,0.0005768342573701844,266.17579123165035,13.13474587298592,100.02902284572956
2025-09-11 00:00:00+00:00,1002.0339936528015,0,0,0,0,0,75.21055498069246,75.48868020667024,6978165.719149718,97.75328626019441,0.000506690162564385,267.1550782731874,11.427633494317528,56.583535817159344
2025-09-12 00:00:00+00:00,1003.6815405097918,0,0,0,0,0,75.48327493890203,75.76971441516746,6978164.457400054,97.7532858467151,0.00043613441754251805,268.1343660712407,9.702120798024763,13.15788894854776
2025-09-13 00:00:00+00:00,1003.864613403207,0,0,0,0,0,75.75150782339453,76.04650008341997,6978163.1887150295,97.7532854678132,0.0003652277886775987,269.11365460873435,7.947116367493884,-30.236810701846718
2025-09-14 00:00:00+00:00,1002.2826214215997,0,0,0,0,0,76.01487028733253,76.31864765542215,6978161.920705024,97.7532851246181,0.00029402877212724663,270.09294386893896,6.141677613225753,-73.57962195855089
2025-09-15 00:00:00+00:00,1001.9666331219349,0,0,0,0,0,76.27296149177589,76.58574783276534,6978160.6319155395,97.7532848088866,0.0002225965354493674,271.0722338323626,4.236847489643458,-116.82157203055009
2025-09-16 00:00:00+00:00,1003.40586334812,0,0,0,0,0,76.52536346451012,76.84737163037983,6978159.324110165,97.753284524383,0.0001509969705720888,272.05152448523774,2.091113795461022,-159.8211241034558
2025-09-17 00:00:00+00:00,1003.7127615870162,0,0,0,0,0,76.77164204435594,77.10307095052067,6978158.018210451,97.75328427767948,7.93124279834837e-05,273.03081580513526,-0.949799834596414,158.07600457688875
2025-09-18 00:00:00+00:00,1002.4203209653189,0,0,0,0,0,77.01134828080502,77.35237962726143,6978156.72437212,97.75328406930936,8.449012005927785e-06,274.010107764375,-28.28215887839948,140.2660718454285
2025-09-19 00:00:00+00:00,1002.3022542773998,0,0,0,0,0,77.24402024815161,77.59481490742948,6978155.413201499,97.75328389356088,6.449834974843264e-05,274.9894003445686,182.2650420347689,-115.42192421464443
2025-09-20 00:00:00+00:00,1003.6946225902839,0,0,0,0,0,77.46918529484569,77.82987935206665,6978154.085007864,97.75328374883908,0.00013615999199653777,275.9686935278677,178.71969339508664,-157.01585445312952
2025-09-21 00:00:00+00:00,1003.8329088208712,0,0,0,0,0,77.68636273381486,78.05706325030954,6978152.753200549,97.75328364132442,0.00020774648402596563,276.94798729679525,-183.51923242311307,160.08532365368623
2025-09-22 00:00:00+00:00,1002.5293347765044,0,0,0,0,0,77.8950670001439,78.27584750686702,6978151.419081191,97.7532835665667,0.00027916208047836226,277.9272816269315,-185.45665173618812,116.8865244503665
2025-09-23 00:00:00+00:00,1002.6711050610566,0,0,0,0,0,78.0948112095979,78.48570705845519,6978150.071543877,97.75328352518855,0.00035034263662441065,278.9065764993158,-187.27746877733307,73.57266436431495
2025-09-24 00:00:00+00:00,1004.4320107706305,0,0,0,0,0,78.28511116440798,78.68611480847048,6978148.720064786,97.75328351817147,0.0004212276381506906,279.885871896286,-189.0411338880579,30.20320459235643
2025-09-25 00:00:00+00:00,1004.7649272536462,0,0,0,0,0,78.46548975645972,78.87654610307598,6978147.355024029,97.75328354281474,0.0004917583711253521,280.86516780028103,169.22769472148636,-13.197189389623867
2025-09-26 00:00:00+00:00,1003.2750434899982,0,0,0,0,0,78.63548174383789,79.05648372599433,6978145.983846937,97.7532835996498,0.0005618740499526423,281.8444641919097,167.51643760787957,-56.61592360739561
2025-09-27 00:00:00+00:00,1002.8356738705438,0,0,0,0,0,78.7946389103744,79.22542345397777,6978144.601701597,97.75328368424991,0.0006315170197542692,282.82376105520575,165.81844556537413,-100.04634265561768
2025-09-28 00:00:00+00:00,1003.8688650347254,0,0,0,0,0,78.94253554089272,79.38288013991249,6978143.22575644,97.7532838012818,0.0007006289165745124,283.80305836779064,164.1296959104609,-143.48441954114003
2025-09-29 00:00:00+00:00,1003.8034915864283,0,0,0,0,0,79.07877422658561,79.52839429200586,6978141.816522638,97.75328394125906,0.0007691551322561308,284.78235611749926,-197.55237984257116,173.0724330938836
2025-09-30 00:00:00+00:00,1002.6364273456693,0,0,0,0,0,79.20299189422059,79.6615391216765,6978140.420830479,97.75328411228185,0.0008370352996039123,285.7616542842191,-199.2294135165859,129.62585319979735
2025-10-01 00:00:00+00:00,1003.180545824295,0,0,0,0,0,79.31486598024264,79.78192788570149,6978139.015947256,97.75328431121974,0.0009042152309687427,286.74095285269686,-200.90268133656514,86.17711877376419
2025-10-02 00:00:00+00:00,1005.3291768000921,0,0,0,0,0,79.41412058263386,79.88922140496254,6978137.566682817,97.75328452985805,0.000970638827559316,287.7202518173048,-202.57287917406308,42.72695585418316
2025-10-03 00:00:00+00:00,1005.8466502553756,0,0,0,0,0,79.5005324077308,79.98313545057529,6978136.082025021,97.75328476885167,0.0010362518471204987,288.6995511807824,155.7593454822744,-0.7239445615833681
2025-10-04 00:00:00+00:00,1004.3212364539585,0,0,0,0,0,79.57393626967307,80.06344773533979,6978134.5940150805,97.7532850314808,0.0011010015876875168,289.6788509314995,154.09355346334024,-44.175121213092204
2025-10-05 00:00:00+00:00,1003.6418388213878,0,0,0,0,0,79.63422972483619,80.13000406650308,6978133.100622816,97.7532853150799,0.0011648322177182672,290.658151060674,152.4292367452298,-87.62605796621793
2025-10-06 00:00:00+00:00,1004.2831104108652,0,0,0,0,0,79.68137646501698,80.18272310921908,6978131.58156828,97.75328561227259,0.0012276900382843993,291.6374515619259,150.76620173623684,-131.076548052857
2025-10-07 00:00:00+00:00,1003.8870221351916,0,0,0,0,0,79.715408030679,80.22159930172015,6978130.063281378,97.75328592508308,0.0012895243910120814,292.61675242473007,149.1043072505863,-174.5264312319692
2025-10-08 00:00:00+00:00,1002.6937927088595,0,0,0,0,0,79.7364235442853,80.2467035266612,6978128.539667669,97.75328625466533,0.0013502827013988493,293.5960536376731,-212.5566491312036,142.02449332188445
2025-10-09 00:00:00+00:00,1003.5191113235418,0,0,0,0,0,79.74458746526199,80.25818151709382,6978127.003504187,97.75328660060727,0.0014099175672504394,294.5753552014687,-214.216862149137,98.57643716560221
2025-10-10 00:00:00+00:00,1006.0519798729949,0,0,0,0,0,79.74012581653686,80.25625036878232,6978125.463129777,97.75328695924317,0.001468375909663301,295.55465710170927,-215.87642376439354,55.12949837918322
