date,distance(Seed-Derived),distance(Seed-Seed2),distance(Seed-Derived2),distance(Derived-Seed2),distance(Derived-Derived2),distance(Seed2-Derived2),beta_angle_sun,derived_beta_angle_sun,sma,inc,ecc,raan,aop,lv
2025-09-22 00:00:00+00:00,996.5875372714253,0,0,0,0,0,-21.38492541791537,-21.938474372757184,6978160.304893111,97.753740767043,0.0002766142590374672,157.46066564755137,-186.30916191424882,117.16431044186818
2025-09-23 00:00:00+00:00,996.6326424713477,0,0,0,0,0,-21.24860498238392,-21.802084828314122,6978158.992509292,97.75374537972833,0.00034758630385422676,158.4400135889821,-188.10265417352315,73.81298719935145
2025-09-24 00:00:00+00:00,998.4825002426352,0,0,0,0,0,-21.1117733011906,-21.665156982445524,6978157.681213163,97.75375000526077,0.00041826732615444736,159.41936257666768,-189.84798830859174,30.41501291148952
2025-09-25 00:00:00+00:00,998.7089192116699,0,0,0,0,0,-20.974532121001683,-21.527792720469353,6978156.3545976365,97.75375464172271,0.0004885981200141194,160.39871258894706,168.43347988715573,-13.008244055886989
2025-09-26 00:00:00+00:00,996.9243755166293,0,0,0,0,0,-20.836985144760504,-21.390095911912482,6978155.009976223,97.75375928466713,0.0005585187599037787,161.37806360782244,166.73172134569506,-56.446739045855786
2025-09-27 00:00:00+00:00,996.3965316362867,0,0,0,0,0,-20.6992380122253,-21.252172389217215,6978153.6728050215,97.75376394089567,0.0006279730529054652,162.35741561264305,165.04098719082913,-99.89471823809889
2025-09-28 00:00:00+00:00,997.5344741356985,0,0,0,0,0,-20.561398195698434,-21.11412983818183,6978152.306275404,97.75376859891226,0.0006969047186924459,163.33676858784244,163.3579535466417,-143.3488425482719
2025-09-29 00:00:00+00:00,997.3627459107137,0,0,0,0,0,-20.423574930064518,-20.976077720228098,6978150.946825489,97.75377326522535,0.0007652529331103238,164.31612250994445,-198.31945199965324,173.19297054117982
2025-09-30 00:00:00+00:00,995.8885357538029,0,0,0,0,0,-20.28587915116922,-20.83812722347399,6978149.56653769,97.75377793426144,0.0008329636384798774,165.29547736316096,-199.99281221733958,129.73231519707147
2025-10-01 00:00:00+00:00,996.3291259757583,0,0,0,0,0,-20.148423542968256,-20.700391302731866,6978148.181769432,97.7537826034395,0.0008999813473408361,166.27483313163654,-201.6627946574959,86.26987104469615
2025-10-02 00:00:00+00:00,998.5621695314807,0,0,0,0,0,-20.011322690593342,-20.562984833332145,6978146.756129385,97.75378726986868,0.0009662487858948387,167.25418980660726,-203.33033493292916,42.80660128360975
2025-10-03 00:00:00+00:00,998.9471382190444,0,0,0,0,0,-19.874693372618424,-20.426024892712967,6978145.304332797,97.75379193124857,0.0010317123290583359,168.23354738102898,155.00420581574303,-0.6570964955249999
2025-10-04 00:00:00+00:00,997.1009448076243,0,0,0,0,0,-19.738654937187103,-20.289631162368767,6978143.8264847,97.75379658486155,0.0010963207623232735,169.21290585210357,153.34039046251286,-44.120753272446606
2025-10-05 00:00:00+00:00,996.3327770610464,0,0,0,0,0,-19.603329680491708,-20.153926277474206,6978142.34752044,97.75380123515534,0.0011600163129856826,170.19226520848846,151.67790871588716,-87.5840429849038
2025-10-06 00:00:00+00:00,997.0854941926352,0,0,0,0,0,-19.468843023702245,-20.019036005424596,6978140.869730293,97.75380587956553,0.0012227454183103492,171.17162542878538,150.01651501754478,-131.04672172062493
2025-10-07 00:00:00+00:00,996.5669765436768,0,0,0,0,0,-19.335323235189815,-19.885088984973386,6978139.363679695,97.75381051177098,0.0012844595967003406,172.15098650951867,148.3560465289555,-174.50860751110696
2025-10-08 00:00:00+00:00,995.0456687881243,0,0,0,0,0,-19.202900589684244,-19.752215870965763,6978137.840609261,97.75381513220239,0.0013451081286239516,173.1303484440424,-213.30361871942958,142.0304443867489
2025-10-09 00:00:00+00:00,995.7688984047038,0,0,0,0,0,-19.07170589059379,-19.620547857088624,6978136.319176374,97.75381973800943,0.001404636391196508,174.10971122225334,-214.96262972706035,98.57059107493139
2025-10-10 00:00:00+00:00,998.3854901461632,0,0,0,0,0,-18.941868609770385,-19.490214814533402,6978134.784149602,97.75382432847513,0.0014629996738700806,175.08907483782284,-216.62098089435312,55.11183589453156
2025-10-11 00:00:00+00:00,999.0464709956353,0,0,0,0,0,-18.81351509922433,-19.361343522352403,6978133.252749493,97.75382890275132,0.0015201447849290026,176.0684392802742,141.7212008216218,11.654312527305017
2025-10-12 00:00:00+00:00,997.3089796211858,0,0,0,0,0,-18.686767254451027,-19.234056309664282,6978131.718178401,97.7538334581785,0.0015760268204298151,177.04780453789667,140.06380210572092,-31.801868402685972
2025-10-13 00:00:00+00:00,996.4352021148374,0,0,0,0,0,-18.56174182414737,-19.10847039178486,6978130.163984266,97.75383798925978,0.0016306008657068325,178.02717061030674,138.4068027123123,-75.25667230674433
2025-10-14 00:00:00+00:00,996.838824335872,0,0,0,0,0,-18.43855034218514,-18.98469779470932,6978128.609429117,97.75384249492737,0.0016838202517964718,179.0065374973463,136.75024019831503,-118.71012796810705
2025-10-15 00:00:00+00:00,995.8987838688233,0,0,0,0,0,-18.317299446445084,-18.862845672979823,6978127.036962081,97.75384697241505,0.0017356408239019782,179.98590519622454,135.09402810920957,-162.16213283692417
2025-10-16 00:00:00+00:00,994.1771862511347,0,0,0,0,0,-18.198091357146225,-18.74301678374115,6978125.452005032,97.75385142281995,0.0017860211041327582,180.96527370981218,-226.56189684974927,154.38738966865043
2025-10-17 00:00:00+00:00,995.0266955791895,0,0,0,0,0,-18.081024389343682,-18.625310007371155,6978123.86388147,97.75385584021373,0.001834916516637818,181.944643039523,-228.2175491947443,110.9384650639608
2025-10-18 00:00:00+00:00,997.9575688947019,0,0,0,0,0,-17.966193393327746,-18.50982077140692,6978122.272562297,97.75386022878052,0.001882287734452832,182.92401318598078,-229.87305214088042,67.4912198873041
2025-10-19 00:00:00+00:00,998.9598688370371,0,0,0,0,0,-17.853690131490943,-18.39664143557788,6978120.67639457,97.75386458279304,0.0019280945319755968,183.90338414654548,128.47165097652143,24.045600454629728
2025-10-20 00:00:00+00:00,997.4856821642553,0,0,0,0,0,-17.743603568970624,-18.285861591332278,6978119.063412858,97.75386889649828,0.0019722999151854698,184.88275593262767,126.81658076329532,-19.398400963461533
2025-10-21 00:00:00+00:00,996.6698609986496,0,0,0,0,0,-17.636020155044342,-18.177568339635307,6978117.446126785,97.75387317512367,0.002014868056897812,185.8621285521226,125.16165016356601,-62.8406859727511
2025-10-22 00:00:00+00:00,996.826842990525,0,0,0,0,0,-17.531024063565173,-18.0718465069314,6978115.819864852,97.75387741322061,0.002055763295104215,186.84150200971675,123.50681760268378,-106.2812052632427
2025-10-23 00:00:00+00:00,995.4581712081261,0,0,0,0,0,-17.428697387437,-17.968778871774255,6978114.192829717,97.7538816090833,0.002094948477119461,187.8208763147161,121.85215642245446,-149.72002300087195
2025-10-24 00:00:00+00:00,993.4122522028777,0,0,0,0,0,-17.329120311160505,-17.868446308311963,6978112.555256107,97.75388576327366,0.0021323961765523643,188.80025147744342,-239.80235790243205,166.842887360315
2025-10-25 00:00:00+00:00,994.2050998067613,0,0,0,0,0,-17.232371243085947,-17.77092793663519,6978110.924184108,97.75388987092022,0.0021680693660079157,189.77962750555955,-241.4567875610005,123.40759015281381
2025-10-26 00:00:00+00:00,997.3053827189174,0,0,0,0,0,-17.138526891908892,-17.676301196288314,6978109.291829167,97.75389393614526,0.002201942382962476,190.75900441087373,-243.1110797381466,79.97403667662213
2025-10-27 00:00:00+00:00,998.6142443701142,0,0,0,0,0,-17.04766234163652,-17.584641905299655,6978107.651002277,97.75389795004097,0.0022339855038918275,191.73838220057416,115.2347011323001,36.54229021966347
2025-10-28 00:00:00+00:00,997.4877437166699,0,0,0,0,0,-16.959851091079887,-17.496024320015334,6978105.9967672285,97.75390191354025,0.002264173866417176,192.71776089526517,113.58051002591426,-6.8875895304099615
2025-10-29 00:00:00+00:00,996.8840083615672,0,0,0,0,0,-16.875165177692523,-17.4105212620812,6978104.34087375,97.75390582846379,0.002292481300974776,193.6971405119786,111.9264405338751,-50.315689661469136
2025-10-30 00:00:00+00:00,996.9479672405771,0,0,0,0,0,-16.79367537307834,-17.328204275206005,6978102.690065776,97.753909690541,0.002318882942771455,194.67652106464442,110.27246986950145,-93.74198759905464
2025-10-31 00:00:00+00:00,995.2250738241198,0,0,0,0,0,-16.71545151187724,-17.24914397492122,6978101.031726969,97.75391350255835,0.0023433585201286097,195.6559025618944,108.61846807424281,-137.16635124395253
2025-11-01 00:00:00+00:00,992.804859579005,0,0,0,0,0,-16.640562973870722,-17.173410543990187,6978099.3788997885,97.75391725792396,0.00236588562973907,196.6352850220771,-253.03552851308308,179.41117827424384
2025-11-02 00:00:00+00:00,993.3909788420257,0,0,0,0,0,-16.569079296254262,-17.101074330621625,6978097.63083055,97.75392095100653,0.0023864496709532306,197.61466848892434,-254.68944275200514,135.99058249592474
2025-11-03 00:00:00+00:00,996.4979589026143,0,0,0,0,0,-16.50107084632382,-17.032206513413207,6978095.847526913,97.7539245852066,0.0024050301229563732,198.59405301187178,-256.34327140551807,92.57193382665174
2025-11-04 00:00:00+00:00,998.0234891840977,0,0,0,0,0,-16.436609310835262,-16.966879593107,6978094.064530009,97.75392816411853,0.002421612251396673,199.5734386137267,102.0029321756342,49.15530182643566
